Name;Dosage;Forme;Presentation;Price;Remboursement;DCI;Type;Prescription;Image
LATANOCOL 3M;50 �g/ml;Collyre;FL/2.5 ml;25.24;20.621;LATANOPROST;Autres;Oui;https://www.unimed.com.tn/wp-content/uploads/2022/03/LATANOCOL-ophtadose-B30.png
LATANOPROST;50 �g/ml;Collyre;FL/2.5 ml;30.41;20.621;LATANOPROST;Autres;Oui;https://cdn.shop-apotheke.com/images/768x0/D09/322/372/D09322372-p14.jpg
LATAPOL;50 �g/ml;Collyre;FL/2.5 ml;26.93;20.621;LATANOPROST;Autres;Oui;https://pharmaco.ge/wp-content/uploads/2023/01/LATAPOL-0.005-GOZ-DAMLASI25-ML-SISE-1-1.png
LATAZ;50 �g/ml;Collyre;FL/2.5 ml;26.607;20.621;LATANOPROST;Autres;Oui;https://brielfarma.be/wp-content/uploads/2023/04/cb313eaa77298f100c618d4921f8e36b.jpg
LATAZ-CO;50 �g/5 mg;Collyre;FL/2.5 ml;34.465;22.453;LATANOPROST + TIMOLOL;Autres;Oui;https://www.pharmnet-dz.com/img/medics/6285.png
LATIFEX 50;50 mg;Gelules;FL/10;4.4;2.678;TRAMADOL;Analg�siques (antidouleurs);Non;https://www.farmaciacampoamor.com/522432-thickbox_default/lavirk-50-mg-g-gel-cutaneo-dosifica-5-g.jpg
LATIFEX PLUS;37,5 mg/325 mg;Comprimes pellicules;B/20;5.72;3.808;TRAMADOL + PARACETAMOL;Analg�siques (antidouleurs);Non;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEicQhcs0WV918MoaLnGJpCUBpS8ESofy7G0nBVM-NVpSRSFDcu8HlMtYUG-9M6U0vLlUujklVBI-utlrJL4q7_BnEEQ_OeCq-evxaOLaPcpKuWWgDnxSptc3sUMv-ltrHhqPMz3RFCInD0/w1200-h630-p-k-no-nu/Captureh.PNG
LEPONEX;100 mg;Comprimes secables;B/50;181.469;154.249;CLOZAPINE;Antipsychotiques;Oui;https://www.reutter.cl/imagenes/productos/leponex_3.jpg
LEPONEX;25 mg;Comprimes secables;B/50;44.813;38.091;CLOZAPINE;Antipsychotiques;Oui;https://cliniguia.com/media/2023/03/11102731/Leponex-25mg-Com-20-Comprimidos-1200x900.jpg
LESCOL;80 mg;Comprimes � liberation prolongee;B/28;41.485;35.248;FLUVASTATINE;Autres;Oui;https://cdn.shop-apotheke.com/images/D13/987/516/D13987516-p15.jpg
LEVEMIR FLEXPEN;100 UI/ml;Solution injectable;B/5 stylo injs/3 ml;148.266;148.265;INSULINE ANALOGUE : DETEMIR;Antidiab�tiques;Oui;https://5.imimg.com/data5/SELLER/Default/2023/11/360040064/WH/FZ/CC/6276597/levemir-flexpen-insulin-detemir-injection-100-iu-ml-1000x1000.jpg
LEVET;100 mg/ml;Solution buvable;FL/300 ml;121.94;71.145;LEVETIRACETAM;Anticonvulsivants;Oui;http://www.simed.com.tn/simedmtd/uploads/2020/05/0U9A0427.jpg
LEVET;500 mg;Comprimes pellicules secables;B/60;47.685;16.779;LEVETIRACETAM;Anticonvulsivants;Oui;https://5.imimg.com/data5/SELLER/Default/2024/5/419302516/JF/NB/AO/121550351/levetiracetam-500mg-tablets-500x500.jpg
LEVOCINE;500 mg;Comprimes pellicules secables;B/5;24.615;12.342;LEVOFLOXACINE;Antibiotiques;Oui;https://celepharma.fr/wp-content/uploads/2022/03/Levocin-2.jpg
LEVODIS;500 mg;Comprimes pellicules secables;B/5;18.615;12.342;LEVOFLOXACINE;Antibiotiques;Oui;http://drug5m.com/wp-content/uploads/2022/05/%D9%84%D9%85%D8%A7%D8%B0%D8%A7-%D9%8A%D8%B3%D8%AA%D8%B9%D9%85%D9%84-%D8%AF%D9%88%D8%A7%D8%A1-Levodis%D8%9F.png
LEVOFAST;5 mg;Comprimes orodispersibles;B/15;5.715;4.756;LEVOCETIRIZINE;Antihistaminiques;Non;https://laboratoirespharmacare.tn/wp-content/uploads/2024/09/Levofast.png
LEVOFLOX;500 mg;Comprimes pellicules secables;B/5;24.595;12.342;LEVOFLOXACINE;Antibiotiques;Oui;http://doctormpharmacy.com/cdn/shop/files/36405.webp?v=1755351613
LEVOFOR;500 mg;Comprimes pellicules secables;B/5;16.735;12.342;LEVOFLOXACINE;Antibiotiques;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Levofor.png
LEVOMAX;500 mg;Comprimes pellicules secables;B/10;29.04;24.684;LEVOFLOXACINE;Antibiotiques;Oui;https://laboratoirespharmacare.tn/wp-content/uploads/2024/09/Levomax-500-mg-B-10-1.png
LEVOMAX;500 mg;Comprimes pellicules secables;FL/10;29.44;24.684;LEVOFLOXACINE;Antibiotiques;Oui;https://laboratoirespharmacare.tn/wp-content/uploads/2024/09/Levomax-500-mg-B-10-1.png
LEVOMAX;500 mg;Comprimes pellicules secables;FL/5;15.225;12.342;LEVOFLOXACINE;Antibiotiques;Oui;https://laboratoirespharmacare.tn/wp-content/uploads/2024/09/Levomax-500-mg-B-10-1.png
LEVOMEPROMAZINE 100;100 mg;Comprimes enrobes;B/20;6.75;5.729;LEVOMEPROMAZINE;Antipsychotiques;Oui;https://www.apodiscounter.de/images/product_images/popup_images/levomepromazin-neuraxpharm-100-mg-tabletten-20-stk-pzn-03221049.jpg
LEVOMEPROMAZINE 25;25 mg;Comprimes enrobes;B/600;3.655;3.094;LEVOMEPROMAZINE;Antipsychotiques;Oui;https://cdn.shop-apotheke.com/images/840x0/D03/221/003/D03221003-p12.jpg
LEVOPHTA;0,05%;Collyre;FL/5 ml;10.931;9.291;LEVOCABASTINE;Antihistaminiques;Non;https://www.pharmacie-du-centre-albert.fr/media/finish/img/normal/95/3400934739866-levophta-0-05-pour-cent-collyre-5ml.jpg
LEVOREC;500 mg;Comprimes pellicules secables;FL/5;15.315;12.342;LEVOFLOXACINE;Antibiotiques;Oui;https://applepharmaciesgp.com/wp-content/uploads/2022/08/levonic-500-mg-5-tablet-00_1-700x700.webp
LEVORGICA;5 mg;Comprimes pellicules;B/15;7.83;4.756;LEVOCETIRIZINE;Antihistaminiques;Non;https://weqaya.ly/wp-content/uploads/2026/03/MED172.jpg
LEVORGICA;5 mg;Comprimes pellicules;B/30;11.195;9.512;LEVOCETIRIZINE;Antihistaminiques;Non;https://weqaya.ly/wp-content/uploads/2026/03/MED172.jpg
LEVORGICA;5 mg;Comprimes pellicules;B/7;3.805;2.219;LEVOCETIRIZINE;Antihistaminiques;Non;https://weqaya.ly/wp-content/uploads/2026/03/MED172.jpg
LEVOSTAMINE;5 mg;Comprimes;B/15;6.435;4.756;LEVOCETIRIZINE;Antihistaminiques;Non;https://egyptdwa.com/dwa/levohistam-5-mg-30-f-c-tabs-21766.jpg
LEVOSTAMINE;5 mg;Comprimes;B/30;11.19;9.512;LEVOCETIRIZINE;Antihistaminiques;Non;https://egyptdwa.com/dwa/levohistam-5-mg-30-f-c-tabs-21766.jpg
LEVOTHYROX;125 �g;Comprimes secables;B/30;3.368;2.856;LEVOTHYROXINE;Hormones;Non;https://resize-parismatch.lanmedia.fr/var/pm/public/media/image/2022/10/19/10/sipa_00939021_000001.jpg?VersionId=Ft_IMEFjX4elez6jR1JzeHVMUiwwb9Ms
LEVOTHYROX;25 �g;Comprimes secables;B/30;1.292;1.097;LEVOTHYROXINE;Hormones;Non;https://www.lejournaltoulousain.fr/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-19-at-4.45.50-PM-scaled.jpeg
LEVOTHYROX;75 �g;Comprimes secables;B/30;2.782;2.346;LEVOTHYROXINE;Hormones;Non;https://www.sciencesetavenir.fr/assets/img/2018/07/26/cover-r4x3w1000-5b59f2d2ec256-21510b88d00be72a781cd6ca0ecbd76878e628a3-jpg.jpg
LEVOX;500 mg;Comprimes pellicules secables;B/5;19.28;12.342;LEVOFLOXACINE;Antibiotiques;Oui;https://farmaciasavefenix.gt/wp-content/uploads/2025/07/1015751-1.jpg
LEXOMIL;6 mg;Comprimes secables;T/30;11.98;1.344;BROMAZEPAM;Anxiolytiques (calmants);Oui;http://www.altercode.fr/Pharma/ANSM/LEXOMIL-6mg/images/lexomil.jpg
LIDOCA;10 mg/ml;Solution injectable;B/10 amps 5 ml;4.815;4.088;LIDOCAINE;Anesth�siques;Oui;https://www.mcguffmedical.com/content/images/thumbs/0015242_lidocaine-1-10mgml-mdv-50ml-vial.jpeg
LIDOCA;20 mg/ml;Solution injectable;B/10 amps 5 ml;5.445;4.624;LIDOCAINE;Anesth�siques;Oui;https://solopharm.com/storage/images/trades/zlZRBwERt6F6OUGMi30T2sXzSzLExmMfskk0wovW.webp
LIDOCA PLUS;5,00%;Creme dermique;T/30 g;21.355;18.13;LIDOCAINE+PRILOCAINE;Anesth�siques;Non;http://www.simed.com.tn/simedmtd/uploads/2020/04/LIDOCAplus.jpg
LINCOCINE;600 mg;Solution injectable;B/1/2 ml;2.04;1.734;LINCOMYCINE;Antibiotiques;Oui;https://www.medicalbazar.co/cdn/shop/products/LincocinInjection600mg5AmpoulesX2ml_1200x1200.jpg?v=1631209942
LIOREFEN;10 mg;Comprimes secables;B/100;6.215;2.4;BACLOFENE;Antispasmodiques;Non;https://laboratoirespharmacare.tn/wp-content/uploads/2025/05/Liorefen-10-mg-B-40-600x424.png
LIPANOR;100 mg;Gelules;B/30;7.252;6.146;CIPROFIBRATE;Autres;Oui;https://pharmnet-dz.com/img/medics/1538.png
LIPANTHYL;160 mg;Comprimes pellicules;B/30;22.015;9.154;FENOFIBRATE;Autres;Oui;https://medicarcp.com/website/images/Products_flat/9135%20-%202.jpg
LIPANTHYL 300;300 mg;Gelules;B/30;10.14;8.619;FENOFIBRATE;Autres;Oui;https://trungtamthuoc.com/images/products/lipanthyl-0-n5883.jpg
LIPOSIC;0,20%;Gel ophtalmique;T/10 g;4.884;4.148;CARBOMERE;Autres;Non;https://cdn.shopify.com/s/files/1/2719/3674/products/1541525725047_580x@2x.png?v=1579736006
LIPTA;10 mg/10 mg;Comprimes pellicules;B/30;29.155;24.76;AMLODIPINE+ATORVASTATINE;Antihypertenseurs;Oui;https://cdn01.pharmeasy.in/dam/products/201394/lipitas-10mg-tablets-1-1721473008.jpg
LIPTA;5 mg/10 mg;Comprimes pellicules;B/30;29.155;24.76;AMLODIPINE+ATORVASTATINE;Antihypertenseurs;Oui;https://npl.com.np/wp-content/uploads/2022/11/lipta_5.jpg
LOCACID;0,05%;Creme dermique;T/30 g;5.47;2.184;TRETINOINE;Anticanc�reux;Oui;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhMZyjVdJ6Hqo_iNZJb8fQaeOyPKE4jK-yWU7Q7UdzGsZDMKF3ShnqQoTDihC1KRe3zfiZsY-YA2UO_zQgqSxiL6o-wE_GFlvfByLqK-nJC9m7ZDCe_xbKkk3LKurkTWe1fkc5sGK-Wls7B/s1600/Locacid+topical+cream+0.05+g_100+g6002PPS0.JPG
LOCAPRED;0,10%;Creme dermique;T/15 g;4.8;3.889;DESONIDE;Cortico�des;Non;https://medicarcp.com/website/images/Products_flat/2799%20-%201.jpg
LOCATOP;0,10%;Creme dermique;T/30 g;9.155;7.778;DESONIDE;Cortico�des;Non;https://cdn.famitaa.net/storage/uploads/noidung/locatop-30g.jpg
LOCERYL AMOROLFINE;5,00%;Vernis � ongles medicamenteux;FL/2.5 ml;51.195;43.516;AMOROLFINE;Antifongiques;Non;https://loceryl.co.za/wp-content/uploads/2019/07/loceryl-nail-lacquer.png
LODEPINE;10 mg;Comprimes secables;B/30;21.305;9.996;AMLODIPINE;Antihypertenseurs;Oui;https://c8.alamy.com/compfr/2m1gg2k/comprimes-d-amlodipine-10mg-de-crescent-pharma-limited-pour-aider-a-reduire-la-tension-arterielle-photo-uniquement-2m1gg2k.jpg
LODEPINE;10 mg;Comprimes secables;B/90;20.26;9.996;AMLODIPINE;Antihypertenseurs;Oui;https://c8.alamy.com/compfr/2m1gg2k/comprimes-d-amlodipine-10mg-de-crescent-pharma-limited-pour-aider-a-reduire-la-tension-arterielle-photo-uniquement-2m1gg2k.jpg
LODEPINE;5 mg;Gelules;B/30;16.4;7.14;AMLODIPINE;Antihypertenseurs;Oui;https://5.imimg.com/data5/SELLER/Default/2025/3/492445816/SE/DE/XO/184975216/5mg-amloget-amlodipine-tablets-ip-1000x1000.jpeg
LODIPEX 10;10 mg;Comprimes;B/30;13.215;9.996;AMLODIPINE;Antihypertenseurs;Oui;https://medsgo.ph/images/detailed/41/Lodipex_10mg.webp
LODIPEX 10;10 mg;Comprimes;B/90;35.34;29.988;AMLODIPINE;Antihypertenseurs;Oui;https://medsgo.ph/images/detailed/41/Lodipex_10mg.webp
LODIPEX 5;5 mg;Comprimes;B/30;10.85;7.14;AMLODIPINE;Antihypertenseurs;Oui;https://medsgo.ph/images/thumbnails/430/430/detailed/40/Lopidex.png.png
LOPRIL;25 mg;Comprimes secables;B/30;13.095;4.233;CAPTOPRIL;Antihypertenseurs;Oui;https://caodangyduocsaigon.vn/images/files/caodangyduocsaigon.vn/thuoc-lopril-1.jpg
LORADINE;1 mg/ml;Sirop;FL/60 ml;4.435;3.06;LORATADINE;Antihistaminiques;Non;https://pharmnet-dz.com/img/medics/4009.png
LORADINE;10 mg;Comprimes;B/10;5.315;2.389;LORATADINE;Antihistaminiques;Non;https://pharmaciemaroc.com/wp-content/uploads/2025/11/Loratadine-10-mg-%E2%80%93-10-comprimes.webp
LORADINE;10 mg;Comprimes;B/30;8.435;7.165;LORATADINE;Antihistaminiques;Non;https://pharmaciemaroc.com/wp-content/uploads/2025/11/Loratadine-10-mg-%E2%80%93-10-comprimes.webp
LORINEX;5 mg;Comprimes pellicules;B/15;6.82;4.118;DESLORATADINE;Antihistaminiques;Non;https://gmpharma.com/images/products/loranex_5_2.png#joomlaImage:/local-images/products/loranex_5_2.png?width=900&height=900
LORINEX;5 mg;Comprimes pellicules;B/30;11.99;8.236;DESLORATADINE;Antihistaminiques;Non;https://gmpharma.com/images/products/loranex_5_2.png#joomlaImage:/local-images/products/loranex_5_2.png?width=900&height=900
LOSAR;100 mg;Comprimes pellicules secables;B/28;26.335;18.302;LOSARTAN;Antihypertenseurs;Oui;https://www.emedbucket.com/emedpro_img/uploads/product/main/healthglowpharmacy/1602239571_4690_5.jpeg
LOSAR;100 mg;Comprimes pellicules secables;B/30;29.755;19.61;LOSARTAN;Antihypertenseurs;Oui;https://www.emedbucket.com/emedpro_img/uploads/product/main/healthglowpharmacy/1602239571_4690_5.jpeg
LOSAR;100 mg;Comprimes pellicules secables;B/90;69.22;58.828;LOSARTAN;Antihypertenseurs;Oui;https://www.emedbucket.com/emedpro_img/uploads/product/main/healthglowpharmacy/1602239571_4690_5.jpeg
LOSAR;100 mg;Comprimes pellicules secables;FL/30;26.895;19.61;LOSARTAN;Antihypertenseurs;Oui;https://www.emedbucket.com/emedpro_img/uploads/product/main/healthglowpharmacy/1602239571_4690_5.jpeg
LOSAR;50 mg;Comprimes pellicules secables;B/30;26.79;16.932;LOSARTAN;Antihypertenseurs;Oui;https://5.imimg.com/data5/SELLER/Default/2025/12/565745901/YV/BH/ZV/185346693/losar-50-mg-1x15-2-1000x1000.jpg
LOSAR;50 mg;Comprimes pellicules secables;B/60;46.67;33.864;LOSARTAN;Antihypertenseurs;Oui;https://5.imimg.com/data5/SELLER/Default/2025/12/565745901/YV/BH/ZV/185346693/losar-50-mg-1x15-2-1000x1000.jpg
LOSAR;50 mg;Comprimes pellicules secables;B/90;62.925;50.796;LOSARTAN;Antihypertenseurs;Oui;https://5.imimg.com/data5/SELLER/Default/2025/12/565745901/YV/BH/ZV/185346693/losar-50-mg-1x15-2-1000x1000.jpg
LOSAR;50 mg;Comprimes pellicules secables;FL/30;24.82;16.932;LOSARTAN;Antihypertenseurs;Oui;https://5.imimg.com/data5/SELLER/Default/2025/12/565745901/YV/BH/ZV/185346693/losar-50-mg-1x15-2-1000x1000.jpg
LOVIK;500 mg;Comprimes pellicules secables;B/5;19.39;12.342;LEVOFLOXACINE;Antibiotiques;Oui;https://philadelphia-pharma.com/wp-content/uploads/2025/07/LOVIK-500MG-BOITE-DE-10-scaled-1.jpg
LOWRAC;10 mg;Comprimes pellicules secables;B/30;13.215;9.996;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-10-b90.png
LOWRAC;10 mg;Comprimes pellicules secables;B/90;37.37;29.988;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-10-b90.png
LOWRAC;10 mg;Comprimes secables;B/30;23.115;9.996;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-10-b90.png
LOWRAC;10 mg;Gelules;B/30;20.86;9.996;AMLODIPINE;Antihypertenseurs;Oui;https://www.pharmabolix.com/sites/default/files/Lowrac_10.jpg
LOWRAC;10 mg;Gelules;B/90;35.34;29.988;AMLODIPINE;Antihypertenseurs;Oui;https://www.pharmabolix.com/sites/default/files/Lowrac_10.jpg
LOWRAC;5 mg;Comprimes pellicules secables;B/30;9.08;7.14;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Comprimes pellicules secables;B/90;25.4;21.42;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Comprimes secables;B/30;15.32;7.14;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Comprimes secables;B/60;20.445;14.28;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Comprimes secables;B/90;16.445;7.14;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Gelules;B/30;14.75;7.14;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Gelules;B/60;24.78;14.28;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Gelules;B/64;19.68;15.232;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRAC;5 mg;Gelules;B/90;25.24;21.42;AMLODIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowrac-5-b30-600x464.png
LOWRADIP;10 mg;Comprimes pellicules secables;B/30;25.66;21.803;LERCANIDIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowradip-20mg-b30.png
LOWRADIP;20 mg;Comprimes pellicules secables;B/30;25.66;21.803;LERCANIDIPINE;Antihypertenseurs;Oui;https://saiph-labo.com/wp-content/uploads/2023/07/Lowradip-20mg-b30.png
LOXEN;20 mg;Comprimes secables;B/30;6.218;5.279;NICARDIPINE;Antihypertenseurs;Oui;https://www.dwa.ma/images/images-results-250/5c4f2452f56176139d6d6d2d-LOXEN-dwa-maroc-mainImage.jpeg
LOXEN LP;50 mg;Gelules � liberation prolongee;B/60;27.05;22.95;NICARDIPINE;Antihypertenseurs;Oui;https://pharmnet-dz.com/img/medics/58.png
LUMIGAN;0,1 mg/ml;Collyre;FL/3 ml;38.675;32.872;BIMATOPROST;Autres;Oui;https://allergan-web-cdn-prod.azureedge.net/allerganindia/allerganindia/media/allergan-india/products/lumigan-0-1-pack.jpg?ext=.jpg
LUSOPRESS;20 mg;Comprimes pellicules;B/28;12.508;10.615;NITRENDIPINE;Antihypertenseurs;Oui;https://gintarinestorageprod.blob.core.windows.net/gintarine/0013947_600.jpeg
LUVERIS;75 UI/ml;Pdre p.prep.injectable;B/1 FL + solv/1 ml;41.429;35.215;LUTROPINE ALFA;Hormones;Oui;https://www.invitra.com/en/wp-content/uploads/2020/07/luveris-75-box.jpg
LYDOL;150 mg;Gelules;B/14;14.6;13.3;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/Lydol.jpg
LYDOL;150 mg;Gelules;B/56;56.2;53.2;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/Lydol.jpg
LYDOL;75 mg;Gelules;B/14;14.6;12.558;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/Lydol-Gelules.jpg
LYDOL;75 mg;Gelules;B/56;56.2;50.232;PREGABALINE;Anticonvulsivants;Oui;https://pharmacily.com/wp-content/uploads/2022/01/Lydol-Gelules.jpg
LYRICA;150 mg;Gelules;B/56;128.85;53.2;PREGABALINE;Anticonvulsivants;Oui;https://5.imimg.com/data5/SELLER/Default/2025/9/548659091/IE/ZI/JF/12877582/pregabalin-lyrica-150-mg-1000x1000.png
LYRICA;75 mg;Gelules;B/14;23.115;12.558;PREGABALINE;Anticonvulsivants;Oui;https://images.apollo247.in/pub/media/catalog/product/L/Y/LYR0001_3_1.jpg?tr=q-80
LYRICA;75 mg;Gelules;B/56;101.22;50.232;PREGABALINE;Anticonvulsivants;Oui;https://images.apollo247.in/pub/media/catalog/product/L/Y/LYR0001_3_1.jpg?tr=q-80
